organizationid,groupid,quizid,schemeofworkid
6480_7207_8399,6480,7207,8399.0
10934_7207_8400,10934,7207,8400.0
11509_7207_8400,11509,7207,8400.0
8613_7207_8399,8613,7207,8399.0
6206_7207_8399,6206,7207,8399.0
3247_7207_8400,3247,7207,8400.0
7125_7207_8400,7125,7207,8400.0
6822_16161_8400,6822,16161,8400.0
11684_16161_8400,11684,16161,8400.0
11355_16161_8400,11355,16161,8400.0
8414_16161_8400,8414,16161,8400.0
2261_16161_8400,2261,16161,8400.0
11339_16161_8400,11339,16161,8400.0
9073_16161_8400,9073,16161,8400.0
2308_16161_8400,2308,16161,8400.0
11669_16161_8399,11669,16161,8399.0
4584_16161_8400,4584,16161,8400.0
6010_16161_8400,6010,16161,8400.0
9729_16161_8400,9729,16161,8400.0
4570_16161_8400,4570,16161,8400.0
3326_16161_8400,3326,16161,8400.0
6480_16161_8400,6480,16161,8400.0
8411_16161_8399,8411,16161,8399.0
3337_16161_8400,3337,16161,8400.0
9190_16161_8400,9190,16161,8400.0
1641_16161_8400,1641,16161,8400.0
6206_16161_8400,6206,16161,8400.0
298_16161_8400,298,16161,8400.0
5026_16161_8400,5026,16161,8400.0
10883_6722_8408,10883,6722,8408.0
7293_6722_8408,7293,6722,8408.0
518_6722_8399,518,6722,8399.0
7303_6722_8399,7303,6722,8399.0
2308_6722_8399,2308,6722,8399.0
11581_10844_8412,11581,10844,8412.0
10558_10844_8412,10558,10844,8412.0
11241_10844_8412,11241,10844,8412.0
10877_10844_8412,10877,10844,8412.0
8674_10844_8412,8674,10844,8412.0
10937_10844_8409,10937,10844,8409.0
11740_10844_8412,11740,10844,8412.0
482_10844_8412,482,10844,8412.0
3808_10844_8409,3808,10844,8409.0
11076_10844_8412,11076,10844,8412.0
7234_10844_8409,7234,10844,8409.0
5404_10844_8412,5404,10844,8412.0
2159_10844_8412,2159,10844,8412.0
9824_10844_8409,9824,10844,8409.0
5262_10844_8412,5262,10844,8412.0
5981_10844_8412,5981,10844,8412.0
7821_10844_8412,7821,10844,8412.0
10589_10844_8412,10589,10844,8412.0
6336_10844_8412,6336,10844,8412.0
7869_10844_8409,7869,10844,8409.0
10790_10844_8409,10790,10844,8409.0
5906_10844_8409,5906,10844,8409.0
3115_10844_8412,3115,10844,8412.0
8710_10844_8409,8710,10844,8409.0
5302_10844_8409,5302,10844,8409.0
3704_10844_8409,3704,10844,8409.0
5885_10844_8412,5885,10844,8412.0
125_10844_8409,125,10844,8409.0
8685_10844_8409,8685,10844,8409.0
7303_16161_8399,7303,16161,8399.0
2429_10844_8412,2429,10844,8412.0
1797_16161_8400,1797,16161,8400.0
1605_10844_8409,1605,10844,8409.0
7092_10844_8409,7092,10844,8409.0
2936_10844_8412,2936,10844,8412.0
6813_10844_8409,6813,10844,8409.0
3661_10844_8409,3661,10844,8409.0
7465_16161_8400,7465,16161,8400.0
10866_16161_8400,10866,16161,8400.0
4207_6729_8412,4207,6729,8412.0
1605_6729_8409,1605,6729,8409.0
10558_6729_8412,10558,6729,8412.0
5437_6729_8409,5437,6729,8409.0
11241_6729_8412,11241,6729,8412.0
5302_6729_8409,5302,6729,8409.0
5262_6729_8412,5262,6729,8412.0
9073_6729_8412,9073,6729,8412.0
11453_6729_8409,11453,6729,8409.0
2159_6729_8412,2159,6729,8412.0
9123_6729_8412,9123,6729,8412.0
7174_6729_8412,7174,6729,8412.0
6336_6729_8409,6336,6729,8409.0
11076_6729_8412,11076,6729,8412.0
5885_6729_8412,5885,6729,8412.0
7092_6729_8409,7092,6729,8409.0
5981_6729_8412,5981,6729,8412.0
6336_6729_8412,6336,6729,8412.0
4863_6729_8409,4863,6729,8409.0
857_6729_8412,857,6729,8412.0
9073_15391_8413,9073,15391,8413.0
2159_15391_8413,2159,15391,8413.0
11684_7188_8400,11684,7188,8400.0
11355_7188_8400,11355,7188,8400.0
8414_7188_8400,8414,7188,8400.0
10934_7188_8400,10934,7188,8400.0
8411_7188_8399,8411,7188,8399.0
3337_7188_8400,3337,7188,8400.0
11669_7188_8399,11669,7188,8399.0
11781_7188_8400,11781,7188,8400.0
4294_7188_8399,4294,7188,8399.0
1797_7188_8399,1797,7188,8399.0
3247_7188_8400,3247,7188,8400.0
11061_7188_8400,11061,7188,8400.0
10866_7188_8400,10866,7188,8400.0
11684_16400_8400,11684,16400,8400.0
11355_16400_8399,11355,16400,8399.0
1995_16400_8400,1995,16400,8400.0
6480_16400_8400,6480,16400,8400.0
2308_16400_8400,2308,16400,8400.0
11408_16400_8400,11408,16400,8400.0
8411_16400_8399,8411,16400,8399.0
8613_16400_8399,8613,16400,8399.0
10224_16400_8400,10224,16400,8400.0
2261_16400_8400,2261,16400,8400.0
11669_16400_8399,11669,16400,8399.0
11339_16400_8400,11339,16400,8400.0
6010_16400_8400,6010,16400,8400.0
9729_16400_8400,9729,16400,8400.0
8414_16400_8400,8414,16400,8400.0
1797_16400_8399,1797,16400,8399.0
11781_16400_8400,11781,16400,8400.0
4584_16400_8400,4584,16400,8400.0
9190_16400_8400,9190,16400,8400.0
518_16400_8400,518,16400,8400.0
1641_16400_8400,1641,16400,8400.0
10934_16400_8400,10934,16400,8400.0
4570_16400_8400,4570,16400,8400.0
6158_16400_8400,6158,16400,8400.0
11509_16400_8400,11509,16400,8400.0
6206_16400_8400,6206,16400,8400.0
10707_4907_8413,10707,4907,8413.0
9073_4907_8413,9073,4907,8413.0
58_4907_8413,58,4907,8413.0
6237_4907_8413,6237,4907,8413.0
4034_4907_8413,4034,4907,8413.0
933_4907_8413,933,4907,8413.0
8740_6722_8399,8740,6722,8399.0
1995_7188_8399,1995,7188,8399.0
8362_7188_8400,8362,7188,8400.0
11509_7188_8400,11509,7188,8400.0
6237_15391_8413,6237,15391,8413.0
518_15391_8399,518,15391,8399.0
6822_392_8400,6822,392,8400.0
11684_392_8400,11684,392,8400.0
11355_392_8400,11355,392,8400.0
3247_392_8400,3247,392,8400.0
5026_392_8399,5026,392,8399.0
8414_392_8400,8414,392,8400.0
11669_392_8399,11669,392,8399.0
8362_392_8400,8362,392,8400.0
11781_392_8400,11781,392,8400.0
10224_392_8400,10224,392,8400.0
3337_392_8400,3337,392,8400.0
10866_392_8400,10866,392,8400.0
10934_392_8400,10934,392,8400.0
8411_392_8399,8411,392,8399.0
6094_392_8400,6094,392,8400.0
11509_392_8400,11509,392,8400.0
4294_392_8399,4294,392,8399.0
11781_16161_8400,11781,16161,8400.0
11757_16161_8400,11757,16161,8400.0
9729_392_8400,9729,392,8400.0
1797_392_8399,1797,392,8399.0
11061_392_8400,11061,392,8400.0
1605_4591_8409,1605,4591,8409.0
5906_4591_8409,5906,4591,8409.0
11581_4591_8412,11581,4591,8412.0
10608_4591_8412,10608,4591,8412.0
5437_4591_8409,5437,4591,8409.0
4371_4591_8412,4371,4591,8412.0
8414_2816_8400,8414,2816,8400.0
8411_2816_8399,8411,2816,8399.0
11740_4591_8412,11740,4591,8412.0
2486_2816_8400,2486,2816,8400.0
11684_2816_8400,11684,2816,8400.0
989_4591_8409,989,4591,8409.0
11757_4591_8412,11757,4591,8412.0
3704_4591_8409,3704,4591,8409.0
518_2816_8400,518,2816,8400.0
1641_2816_8400,1641,2816,8400.0
5404_4591_8412,5404,4591,8412.0
4611_4591_8412,4611,4591,8412.0
6206_2816_8400,6206,2816,8400.0
3247_2816_8400,3247,2816,8400.0
11061_2816_8400,11061,2816,8400.0
4034_15391_8409,4034,15391,8409.0
11684_9800_8408,11684,9800,8408.0
11355_9800_8408,11355,9800,8408.0
6480_9800_8399,6480,9800,8399.0
10883_9800_8408,10883,9800,8408.0
11050_9800_8408,11050,9800,8408.0
1371_9800_8408,1371,9800,8408.0
2796_9800_8408,2796,9800,8408.0
10224_9800_8408,10224,9800,8408.0
7303_9800_8399,7303,9800,8399.0
3371_9800_8399,3371,9800,8399.0
5026_9800_8408,5026,9800,8408.0
4207_12940_8412,4207,12940,8412.0
10558_12940_8412,10558,12940,8412.0
2936_12940_8409,2936,12940,8409.0
5437_12940_8409,5437,12940,8409.0
5302_12940_8409,5302,12940,8409.0
5262_12940_8412,5262,12940,8412.0
5906_12940_8409,5906,12940,8409.0
10877_12940_8409,10877,12940,8409.0
10790_12940_8409,10790,12940,8409.0
7174_12940_8412,7174,12940,8412.0
7821_12940_8412,7821,12940,8412.0
7092_12940_8409,7092,12940,8409.0
2159_12940_8412,2159,12940,8412.0
3704_12940_8409,3704,12940,8409.0
1605_12940_8409,1605,12940,8409.0
8221_12940_8412,8221,12940,8412.0
5981_12940_8412,5981,12940,8412.0
5404_12940_8412,5404,12940,8412.0
5885_12940_8412,5885,12940,8412.0
4863_12940_8409,4863,12940,8409.0
2429_12940_8412,2429,12940,8412.0
6680_12940_8409,6680,12940,8409.0
11223_12940_8412,11223,12940,8412.0
3247_16400_8400,3247,16400,8400.0
5026_16400_8400,5026,16400,8400.0
1903_6729_8412,1903,6729,8412.0
625_7207_8400,625,7207,8400.0
11339_7207_8399,11339,7207,8399.0
518_7207_8399,518,7207,8399.0
10790_6729_8409,10790,6729,8409.0
7817_7598_8412,7817,7598,8412.0
10558_7598_8412,10558,7598,8412.0
5437_7598_8409,5437,7598,8409.0
482_7598_8412,482,7598,8412.0
9073_7598_8412,9073,7598,8412.0
1903_7598_8412,1903,7598,8412.0
8674_7598_8412,8674,7598,8412.0
11076_7598_8412,11076,7598,8412.0
1605_7598_8409,1605,7598,8409.0
7234_7598_8412,7234,7598,8412.0
4371_7598_8412,4371,7598,8412.0
4611_7598_8412,4611,7598,8412.0
5262_7598_8412,5262,7598,8412.0
11740_7598_8412,11740,7598,8412.0
933_7598_8412,933,7598,8412.0
9168_7598_8412,9168,7598,8412.0
5885_7598_8412,5885,7598,8412.0
4678_7598_8412,4678,7598,8412.0
9123_7598_8412,9123,7598,8412.0
11757_7598_8412,11757,7598,8412.0
8391_7598_8409,8391,7598,8409.0
674_7598_8412,674,7598,8412.0
8721_10844_8409,8721,10844,8409.0
8052_10844_8409,8052,10844,8409.0
6680_10844_8412,6680,10844,8412.0
989_4907_8413,989,4907,8413.0
11435_4907_8413,11435,4907,8413.0
5471_15391_8413,5471,15391,8413.0
5809_12960_66321,5809,12960,66321.0
11076_12940_8412,11076,12940,8412.0
10996_12940_8412,10996,12940,8412.0
11740_12940_8412,11740,12940,8412.0
3833_12940_8409,3833,12940,8409.0
1836_15391_8408,1836,15391,8408.0
8063_15391_8409,8063,15391,8409.0
11669_2816_8399,11669,2816,8399.0
6094_2816_8400,6094,2816,8400.0
2429_6729_8412,2429,6729,8412.0
2261_7207_8399,2261,7207,8399.0
6206_9800_8399,6206,9800,8399.0
8925_9800_8399,8925,9800,8399.0
8740_9800_8399,8740,9800,8399.0
5437_10844_8409,5437,10844,8409.0
5026_2816_8400,5026,2816,8400.0
2159_4591_8412,2159,4591,8412.0
625_7188_8400,625,7188,8400.0
8920_7188_8400,8920,7188,8400.0
5437_11602_8409,5437,11602,8409.0
1605_11602_8409,1605,11602,8409.0
10707_11602_8412,10707,11602,8412.0
482_11602_8412,482,11602,8412.0
8674_11602_8412,8674,11602,8412.0
5679_11602_8412,5679,11602,8412.0
989_11602_8412,989,11602,8412.0
1903_11602_8409,1903,11602,8409.0
4371_11602_8412,4371,11602,8412.0
10608_11602_8412,10608,11602,8412.0
11076_11602_8412,11076,11602,8412.0
5404_11602_8412,5404,11602,8412.0
4611_11602_8412,4611,11602,8412.0
9168_11602_8412,9168,11602,8412.0
7234_11602_8412,7234,11602,8412.0
5885_11602_8412,5885,11602,8412.0
7274_11602_8412,7274,11602,8412.0
11740_11602_8412,11740,11602,8412.0
933_11602_8412,933,11602,8412.0
8710_11602_8409,8710,11602,8409.0
7817_11602_8412,7817,11602,8412.0
2493_11602_8412,2493,11602,8412.0
9123_11602_8412,9123,11602,8412.0
8052_7598_8412,8052,7598,8412.0
2261_6722_8399,2261,6722,8399.0
4010_14165_28228,4010,14165,28228.0
7646_14165_28228,7646,14165,28228.0
3553_14165_28228,3553,14165,28228.0
5446_14165_28237,5446,14165,28237.0
1766_14165_28228,1766,14165,28228.0
9158_14165_28228,9158,14165,28228.0
1962_16095_8380,1962,16095,8380.0
9878_16095_8380,9878,16095,8380.0
2095_16095_8380,2095,16095,8380.0
9172_16095_8380,9172,16095,8380.0
5188_16095_8380,5188,16095,8380.0
10257_16095_8380,10257,16095,8380.0
2309_16095_8380,2309,16095,8380.0
2794_16095_8380,2794,16095,8380.0
5221_16095_8380,5221,16095,8380.0
4189_16095_8380,4189,16095,8380.0
9799_16095_8380,9799,16095,8380.0
5093_16095_8380,5093,16095,8380.0
194_16095_8380,194,16095,8380.0
3825_16095_8380,3825,16095,8380.0
5234_16095_8380,5234,16095,8380.0
617_16095_8380,617,16095,8380.0
7275_16095_8380,7275,16095,8380.0
1661_16095_8380,1661,16095,8380.0
6329_16095_8380,6329,16095,8380.0
340_16095_8380,340,16095,8380.0
8208_16095_8380,8208,16095,8380.0
8449_3315_40960,8449,3315,40960.0
5434_3315_40960,5434,3315,40960.0
3538_3315_40960,3538,3315,40960.0
2294_3315_40960,2294,3315,40960.0
7427_3315_40960,7427,3315,40960.0
186_3315_40960,186,3315,40960.0
5179_3315_40960,5179,3315,40960.0
5704_3315_40960,5704,3315,40960.0
5654_3315_40960,5654,3315,40960.0
605_3315_40960,605,3315,40960.0
10568_3315_40960,10568,3315,40960.0
11146_3315_40960,11146,3315,40960.0
9990_5810_28228,9990,5810,28228.0
4010_5810_28228,4010,5810,28228.0
7646_5810_28228,7646,5810,28228.0
3553_5810_28228,3553,5810,28228.0
5446_5810_28237,5446,5810,28237.0
10918_5810_28228,10918,5810,28228.0
5272_5810_28228,5272,5810,28228.0
9141_5810_28237,9141,5810,28237.0
9158_5810_28228,9158,5810,28228.0
11826_5810_28228,11826,5810,28228.0
4684_5810_28228,4684,5810,28228.0
11418_5810_28228,11418,5810,28228.0
10600_12199_28228,10600,12199,28228.0
3461_12199_28228,3461,12199,28228.0
9828_12199_28228,9828,12199,28228.0
9641_12199_28228,9641,12199,28228.0
376_12199_28228,376,12199,28228.0
4010_12199_28228,4010,12199,28228.0
11218_12199_28228,11218,12199,28228.0
9877_12199_28228,9877,12199,28228.0
8562_9946_28237,8562,9946,28237.0
6193_9946_28237,6193,9946,28237.0
8627_12199_28228,8627,12199,28228.0
10718_12199_28228,10718,12199,28228.0
7949_12199_28228,7949,12199,28228.0
4248_12199_28228,4248,12199,28228.0
7450_9946_28237,7450,9946,28237.0
6093_9946_28237,6093,9946,28237.0
9158_12199_28228,9158,12199,28228.0
9149_12199_28228,9149,12199,28228.0
3427_12199_28228,3427,12199,28228.0
11355_6402_8399,11355,6402,8399.0
8414_6402_8400,8414,6402,8400.0
8411_6402_8399,8411,6402,8399.0
11684_6402_8400,11684,6402,8400.0
10224_6402_8400,10224,6402,8400.0
11669_6402_8399,11669,6402,8399.0
1797_6402_8399,1797,6402,8399.0
3337_6402_8400,3337,6402,8400.0
11339_6402_8400,11339,6402,8400.0
8613_6402_8399,8613,6402,8399.0
10934_6402_8400,10934,6402,8400.0
10291_6402_8400,10291,6402,8400.0
3247_6402_8400,3247,6402,8400.0
6158_6402_8400,6158,6402,8400.0
11408_6402_8400,11408,6402,8400.0
6206_6402_8400,6206,6402,8400.0
11061_6402_8400,11061,6402,8400.0
6094_6402_8400,6094,6402,8400.0
5188_10761_8380,5188,10761,8380.0
9878_10761_8380,9878,10761,8380.0
2095_10761_8380,2095,10761,8380.0
617_10761_8380,617,10761,8380.0
1962_10761_8380,1962,10761,8380.0
10709_10761_8380,10709,10761,8380.0
7006_10761_8380,7006,10761,8380.0
2309_10761_8380,2309,10761,8380.0
5221_10761_8380,5221,10761,8380.0
10257_10761_8380,10257,10761,8380.0
4189_10761_8380,4189,10761,8380.0
194_10761_8380,194,10761,8380.0
3825_10761_8380,3825,10761,8380.0
2794_10761_8380,2794,10761,8380.0
7694_10761_8380,7694,10761,8380.0
5234_10761_8380,5234,10761,8380.0
1661_10761_8380,1661,10761,8380.0
9172_10761_8380,9172,10761,8380.0
7275_10761_8380,7275,10761,8380.0
6657_10761_8380,6657,10761,8380.0
340_10761_8380,340,10761,8380.0
10794_2862_8412,10794,2862,8412.0
5302_2862_8409,5302,2862,8409.0
5262_2862_8412,5262,2862,8412.0
5437_2862_8409,5437,2862,8409.0
10877_2862_8412,10877,2862,8412.0
4863_2862_8409,4863,2862,8409.0
7174_2862_8412,7174,2862,8412.0
6697_2862_8412,6697,2862,8412.0
482_2862_8412,482,2862,8412.0
1605_2862_8409,1605,2862,8409.0
7092_2862_8409,7092,2862,8409.0
4207_2862_8412,4207,2862,8412.0
2159_2862_8412,2159,2862,8412.0
5885_2862_8412,5885,2862,8412.0
11223_2862_8412,11223,2862,8412.0
3115_2862_8412,3115,2862,8412.0
10790_2862_8409,10790,2862,8409.0
7817_2862_8412,7817,2862,8412.0
5981_2862_8412,5981,2862,8412.0
4611_2862_8412,4611,2862,8412.0
2936_2862_8412,2936,2862,8412.0
4684_14165_28228,4684,14165,28228.0
5272_14165_28228,5272,14165,28228.0
9141_14165_28237,9141,14165,28237.0
206_3393_40959,206,3393,40959.0
4853_3393_40959,4853,3393,40959.0
5438_3393_40959,5438,3393,40959.0
1065_3393_40959,1065,3393,40959.0
3538_3393_40959,3538,3393,40959.0
5547_3393_40959,5547,3393,40959.0
2262_3393_40959,2262,3393,40959.0
9652_3393_40959,9652,3393,40959.0
3618_3393_40959,3618,3393,40959.0
2729_3393_40959,2729,3393,40959.0
5944_3393_40959,5944,3393,40959.0
3524_3393_40959,3524,3393,40959.0
8207_3393_40959,8207,3393,40959.0
1134_3393_40959,1134,3393,40959.0
4975_3393_40959,4975,3393,40959.0
4390_3393_40959,4390,3393,40959.0
4044_3393_40959,4044,3393,40959.0
1360_3393_40959,1360,3393,40959.0
7974_3393_40959,7974,3393,40959.0
3443_3393_40959,3443,3393,40959.0
5056_3393_40959,5056,3393,40959.0
13_3393_40959,13,3393,40959.0
11612_3393_40959,11612,3393,40959.0
10501_3393_40959,10501,3393,40959.0
3358_3393_40959,3358,3393,40959.0
2425_3393_40959,2425,3393,40959.0
7895_3393_40959,7895,3393,40959.0
7716_3393_40959,7716,3393,40959.0
6361_3393_40959,6361,3393,40959.0
10409_3393_40959,10409,3393,40959.0
7915_3393_40959,7915,3393,40959.0
6191_3393_40959,6191,3393,40959.0
5239_3393_40959,5239,3393,40959.0
9183_3393_40959,9183,3393,40959.0
5530_3393_40959,5530,3393,40959.0
7810_3393_40959,7810,3393,40959.0
4820_3393_40959,4820,3393,40959.0
2604_3393_40959,2604,3393,40959.0
1286_3393_40959,1286,3393,40959.0
2487_3393_40959,2487,3393,40959.0
6538_3393_40959,6538,3393,40959.0
4167_3393_40959,4167,3393,40959.0
10803_3393_40959,10803,3393,40959.0
6308_3393_40959,6308,3393,40959.0
7915_3406_40959,7915,3406,40959.0
1065_3406_40959,1065,3406,40959.0
3772_3406_40959,3772,3406,40959.0
5137_3406_40959,5137,3406,40959.0
6992_3406_40959,6992,3406,40959.0
7885_3406_40959,7885,3406,40959.0
3171_3406_40959,3171,3406,40959.0
7810_3406_40959,7810,3406,40959.0
9242_3406_40959,9242,3406,40959.0
2783_14165_28228,2783,14165,28228.0
1065_936_40959,1065,936,40959.0
5137_936_40959,5137,936,40959.0
10501_936_40959,10501,936,40959.0
10405_936_40959,10405,936,40959.0
5530_936_40959,5530,936,40959.0
2545_936_40959,2545,936,40959.0
605_12677_40960,605,12677,40960.0
2294_12677_40960,2294,12677,40960.0
3538_12677_40960,3538,12677,40960.0
6673_12677_40960,6673,12677,40960.0
10397_12677_40960,10397,12677,40960.0
10042_12677_40960,10042,12677,40960.0
10322_12677_40960,10322,12677,40960.0
3742_12677_40960,3742,12677,40960.0
4795_12677_40960,4795,12677,40960.0
1028_12677_40960,1028,12677,40960.0
8525_12677_40960,8525,12677,40960.0
2654_12677_40960,2654,12677,40960.0
8444_12677_40960,8444,12677,40960.0
11295_12677_40960,11295,12677,40960.0
1956_12677_40960,1956,12677,40960.0
7232_12677_40960,7232,12677,40960.0
7331_12677_40960,7331,12677,40960.0
7566_12677_40960,7566,12677,40960.0
4055_12677_40960,4055,12677,40960.0
8238_12677_40960,8238,12677,40960.0
1753_12677_40960,1753,12677,40960.0
11146_12677_40960,11146,12677,40960.0
9220_12677_40960,9220,12677,40960.0
10055_12677_40960,10055,12677,40960.0
1109_12677_40960,1109,12677,40960.0
2795_12677_40960,2795,12677,40960.0
10164_12677_40960,10164,12677,40960.0
7427_12677_40960,7427,12677,40960.0
3377_12677_40960,3377,12677,40960.0
4162_12677_40960,4162,12677,40960.0
8688_12677_40960,8688,12677,40960.0
7943_12677_40960,7943,12677,40960.0
1854_12677_40960,1854,12677,40960.0
2670_12677_40960,2670,12677,40960.0
5803_12677_40960,5803,12677,40960.0
3695_12677_40960,3695,12677,40960.0
5654_12677_40960,5654,12677,40960.0
10904_12677_40960,10904,12677,40960.0
6983_12677_40960,6983,12677,40960.0
10941_12677_40960,10941,12677,40960.0
11684_10437_8400,11684,10437,8400.0
11355_10437_8399,11355,10437,8399.0
1836_10437_8400,1836,10437,8400.0
8414_10437_8400,8414,10437,8400.0
8411_10437_8399,8411,10437,8399.0
10224_10437_8400,10224,10437,8400.0
518_10437_8400,518,10437,8400.0
11339_10437_8400,11339,10437,8400.0
1797_10437_8399,1797,10437,8399.0
3337_10437_8400,3337,10437,8400.0
8613_10437_8399,8613,10437,8399.0
1641_10437_8400,1641,10437,8400.0
6206_10437_8400,6206,10437,8400.0
6094_10437_8400,6094,10437,8400.0
1995_10437_8400,1995,10437,8400.0
11669_10437_8399,11669,10437,8399.0
10291_10437_8400,10291,10437,8400.0
11061_10437_8400,11061,10437,8400.0
2294_2330_40960,2294,2330,40960.0
10182_2330_40960,10182,2330,40960.0
5704_2330_40960,5704,2330,40960.0
605_2330_40960,605,2330,40960.0
3276_2330_40960,3276,2330,40960.0
7618_2330_40960,7618,2330,40960.0
9640_2330_40960,9640,2330,40960.0
2116_17226_28228,2116,17226,28228.0
4085_17226_28228,4085,17226,28228.0
376_17226_28228,376,17226,28228.0
1086_17226_28237,1086,17226,28237.0
9828_17226_28228,9828,17226,28228.0
9652_17226_28228,9652,17226,28228.0
9158_17226_28228,9158,17226,28228.0
6605_17226_28228,6605,17226,28228.0
8562_17226_28237,8562,17226,28237.0
4248_17226_28228,4248,17226,28228.0
6991_17226_28228,6991,17226,28228.0
680_17226_28228,680,17226,28228.0
10718_17226_28228,10718,17226,28228.0
1736_17226_28228,1736,17226,28228.0
5149_17226_28228,5149,17226,28228.0
7915_5284_40959,7915,5284,40959.0
1065_5284_40959,1065,5284,40959.0
3538_5284_40959,3538,5284,40959.0
9652_5284_40959,9652,5284,40959.0
5944_5284_40959,5944,5284,40959.0
5355_5284_40959,5355,5284,40959.0
3358_5284_40959,3358,5284,40959.0
1134_5284_40959,1134,5284,40959.0
4975_5284_40959,4975,5284,40959.0
4390_5284_40959,4390,5284,40959.0
4044_5284_40959,4044,5284,40959.0
6191_5284_40959,6191,5284,40959.0
4853_5284_40959,4853,5284,40959.0
2425_5284_40959,2425,5284,40959.0
11656_5284_40959,11656,5284,40959.0
10409_5284_40959,10409,5284,40959.0
11330_5284_40959,11330,5284,40959.0
7974_5284_40959,7974,5284,40959.0
5530_5284_40959,5530,5284,40959.0
7810_5284_40959,7810,5284,40959.0
1286_5284_40959,1286,5284,40959.0
1284_5284_40959,1284,5284,40959.0
998_5284_40959,998,5284,40959.0
5438_5284_40959,5438,5284,40959.0
13_5284_40959,13,5284,40959.0
6753_5284_40959,6753,5284,40959.0
7328_5284_40959,7328,5284,40959.0
4248_16676_28228,4248,16676,28228.0
4085_16676_28228,4085,16676,28228.0
997_16676_28237,997,16676,28237.0
5089_16676_28228,5089,16676,28228.0
3553_16676_28228,3553,16676,28228.0
9828_16676_28228,9828,16676,28228.0
7450_16676_28237,7450,16676,28237.0
4975_16676_28228,4975,16676,28228.0
9652_16676_28228,9652,16676,28228.0
7646_16676_28228,7646,16676,28228.0
6191_16676_28228,6191,16676,28228.0
680_16676_28228,680,16676,28228.0
3443_16676_28228,3443,16676,28228.0
6605_16676_28228,6605,16676,28228.0
8004_16676_28228,8004,16676,28228.0
7949_16676_28228,7949,16676,28228.0
10718_16676_28228,10718,16676,28228.0
376_16676_28228,376,16676,28228.0
5272_16676_28228,5272,16676,28228.0
1736_16676_28228,1736,16676,28228.0
1766_16676_28228,1766,16676,28228.0
7790_16676_28228,7790,16676,28228.0
9149_16676_28228,9149,16676,28228.0
5149_16676_28228,5149,16676,28228.0
8270_16676_28228,8270,16676,28228.0
6962_16676_28228,6962,16676,28228.0
10888_16676_28228,10888,16676,28228.0
2208_6142_28237,2208,6142,28237.0
9641_14988_28228,9641,14988,28228.0
3817_6142_28237,3817,6142,28237.0
8087_6142_28237,8087,6142,28237.0
9877_14988_28228,9877,14988,28228.0
10839_6142_28237,10839,6142,28237.0
8987_6142_28237,8987,6142,28237.0
470_6142_28237,470,6142,28237.0
11686_6142_28237,11686,6142,28237.0
3553_14988_28228,3553,14988,28228.0
5791_14988_28228,5791,14988,28228.0
6816_14988_28228,6816,14988,28228.0
6021_6142_28237,6021,6142,28237.0
2719_14988_28228,2719,14988,28228.0
11612_14988_28228,11612,14988,28228.0
8627_14988_28228,8627,14988,28228.0
6093_6142_28237,6093,6142,28237.0
