subjectid,gender,iscorrect
107,Male,778
108,Female,335
108,Male,358
109,Female,2357
109,Male,2251
110,Female,766
110,Male,695
111,Female,890
111,Male,824
112,Female,1959
112,Male,2032
113,Female,1984
113,Male,2053
114,Female,1287
114,Male,873
115,Female,1752
115,Male,1549
116,Female,235
116,Male,283
117,Female,696
117,Male,698
118,Female,161
118,Male,153
119,Female,2647
119,Male,2421
120,Female,546
120,Male,497
121,Female,423
121,Male,365
122,Female,1957
122,Male,2030
123,Female,897
123,Male,929
124,Female,2429
124,Male,1988
125,Female,309
125,Male,295
126,Female,1525
126,Male,1979
127,Female,218
127,Male,241
128,Female,83
128,Male,77
129,Female,136
129,Male,156
130,Female,192
130,Male,175
131,Female,109
131,Male,108
132,Female,247
132,Male,266
133,Female,164
133,Male,190
134,Female,122
134,Male,155
135,Female,71
135,Male,118
136,Female,54
136,Male,61
137,Female,267
137,Male,289
138,Female,87
138,Male,94
139,Female,149
139,Male,161
140,Female,179
140,Male,121
141,Female,452
141,Male,454
142,Female,233
142,Male,275
143,Female,479
143,Male,419
144,Female,514
144,Male,476
145,Female,443
145,Male,459
146,Female,323
146,Male,281
147,Female,367
147,Male,347
148,Female,280
148,Male,276
149,Female,544
149,Male,430
150,Female,2184
150,Male,1943
151,Female,262
151,Male,370
152,Female,98
152,Male,95
153,Female,263
153,Male,257
154,Female,478
154,Male,529
155,Female,575
155,Male,747
156,Female,113
156,Male,135
157,Female,901
157,Male,988
158,Female,270
158,Male,303
159,Female,700
159,Male,626
160,Female,137
160,Male,126
161,Female,175
161,Male,195
162,Female,167
162,Male,173
163,Female,2056
163,Male,2028
164,Female,200
164,Male,207
165,Female,209
165,Male,279
166,Female,542
166,Male,557
167,Female,399
167,Male,382
168,Female,89
168,Male,95
169,Female,211
169,Male,216
170,Female,350
170,Male,361
171,Female,472
171,Male,380
172,Female,120
172,Male,155
173,Female,530
173,Male,766
174,Female,279
174,Male,300
175,Female,998
175,Male,923
176,Female,617
176,Male,587
177,Female,580
177,Male,584
178,Female,825
178,Male,736
179,Female,184
179,Male,286
180,Female,113
180,Male,150
181,Female,314
181,Male,270
182,Female,120
182,Male,109
183,Female,1522
183,Male,1387
184,Female,375
184,Male,405
185,Female,299
185,Male,324
186,Female,327
186,Male,349
187,Female,537
187,Male,520
188,Female,233
188,Male,218
189,Female,68
189,Male,73
190,Female,837
190,Male,700
191,Female,228
191,Male,244
192,Female,325
192,Male,328
193,Female,53
193,Male,99
194,Female,1438
194,Male,704
195,Female,858
195,Male,250
196,Female,573
196,Male,207
197,Female,685
197,Male,700
198,Female,47
198,Male,22
199,Female,293
199,Male,274
200,Female,121
200,Male,201
201,Female,32
201,Male,46
202,Female,87
202,Male,14
203,Female,769
203,Male,542
204,Female,92
204,Male,192
205,Female,1055
205,Male,909
206,Female,668
206,Male,586
207,Female,376
207,Male,337
208,Female,83
208,Male,73
209,Female,96
209,Male,119
210,Female,13
210,Male,22
211,Female,467
211,Male,477
212,Female,162
212,Male,156
213,Female,67
213,Male,79
214,Female,68
214,Male,114
215,Female,75
215,Male,67
216,Female,101
216,Male,75
217,Female,31
217,Male,47
218,Female,294
218,Male,236
219,Female,56
219,Male,73
220,Female,51
220,Male,38
221,Female,138
221,Male,150
222,Female,260
222,Male,267
223,Female,125
223,Male,108
224,Female,220
224,Male,220
225,Female,641
225,Male,704
226,Female,70
226,Male,70
227,Female,158
227,Male,112
228,Female,429
228,Male,365
229,Female,79
229,Male,62
230,Female,389
230,Male,432
231,Female,75
231,Male,85
232,Female,38
232,Male,55
233,Female,30
233,Male,38
234,Female,114
234,Male,107
235,Female,117
235,Male,101
236,Female,500
236,Male,434
237,Female,2130
237,Male,1803
238,Female,40
238,Male,49
239,Female,416
239,Male,384
240,Female,109
240,Male,85
241,Female,6
241,Male,15
242,Female,111
242,Male,101
243,Female,669
243,Male,614
244,Female,40
244,Male,46
245,Female,128
245,Male,110
246,Female,109
246,Male,135
247,Female,285
247,Male,266
248,Female,457
248,Male,400
249,Female,303
249,Male,221
250,Female,586
250,Male,533
251,Female,47
251,Male,29
252,Female,74
252,Male,52
253,Female,205
253,Male,155
254,Female,120
254,Male,101
255,Female,48
255,Male,37
256,Female,185
256,Male,147
257,Female,70
257,Male,65
258,Female,105
258,Male,93
259,Female,41
259,Male,39
260,Female,23
260,Male,21
261,Female,94
261,Male,61
262,Female,197
262,Male,174
263,Female,317
263,Male,292
264,Female,30
264,Male,21
265,Female,24
265,Male,21
266,Female,148
266,Male,130
267,Female,93
267,Male,104
268,Female,47
268,Male,26
269,Female,83
269,Male,74
270,Female,67
270,Male,50
271,Female,37
271,Male,35
272,Female,71
272,Male,52
273,Female,43
273,Male,35
274,Female,37
274,Male,38
275,Female,111
275,Male,98
276,Female,63
276,Male,30
277,Female,26
277,Male,27
278,Female,75
278,Male,58
279,Female,41
279,Male,33
280,Female,64
280,Male,53
281,Female,43
281,Male,44
282,Female,24
282,Male,29
283,Female,63
283,Male,65
284,Female,65
284,Male,55
285,Female,13
285,Male,15
286,Female,90
286,Male,101
287,Female,33
287,Male,29
288,Female,31
288,Male,40
289,Female,99
289,Male,89
290,Female,41
290,Male,39
291,Female,16
291,Male,22
292,Female,44
292,Male,40
293,Female,91
293,Male,76
294,Female,85
294,Male,92
295,Female,24
295,Male,30
296,Female,13
296,Male,16
297,Female,148
297,Male,117
298,Female,23
298,Male,34
299,Female,85
299,Male,59
300,Female,43
300,Male,49
301,Female,188
301,Male,154
302,Female,44
302,Male,43
303,Female,18
303,Male,38
304,Female,202
304,Male,198
305,Female,32
305,Male,22
306,Female,19
306,Male,25
307,Female,30
307,Male,25
308,Female,45
308,Male,38
309,Female,51
309,Male,48
310,Female,28
310,Male,23
311,Female,128
311,Male,102
312,Female,135
312,Male,122
313,Female,117
313,Male,103
314,Female,65
314,Male,66
315,Female,151
315,Male,156
316,Female,70
316,Male,57
317,Female,49
317,Male,75
318,Female,44
318,Male,41
319,Female,130
319,Male,128
320,Female,198
320,Male,171
321,Female,231
321,Male,223
322,Female,204
322,Male,218
323,Female,187
323,Male,147
324,Female,36
324,Male,46
325,Female,58
325,Male,54
326,Female,122
326,Male,114
327,Female,84
327,Male,77
328,Female,41
328,Male,23
329,Female,80
329,Male,75
330,Female,39
330,Male,23
331,Female,16
331,Male,22
332,Female,115
332,Male,104
333,Female,85
333,Male,74
334,Female,191
334,Male,165
335,Female,102
335,Male,122
336,Female,50
336,Male,63
337,Female,101
337,Male,91
338,Female,30
338,Male,27
339,Female,40
339,Male,51
340,Female,498
340,Male,598
341,Female,24
341,Male,28
342,Female,33
342,Male,21
343,Female,40
343,Male,38
344,Female,23
344,Male,17
345,Female,104
345,Male,136
346,Female,38
346,Male,21
347,Female,24
347,Male,23
348,Female,49
348,Male,29
349,Female,43
349,Male,22
350,Female,43
350,Male,41
351,Female,22
351,Male,22
352,Female,50
352,Male,39
353,Female,55
353,Male,61
354,Female,37
354,Male,41
355,Female,33
355,Male,22
356,Female,13
356,Male,21
357,Female,79
357,Male,106
358,Female,81
358,Male,86
359,Female,60
359,Male,52
360,Female,70
360,Male,74
361,Female,48
361,Male,40
362,Female,15
362,Male,21
363,Female,32
363,Male,35
364,Female,54
364,Male,49
365,Female,151
365,Male,121
366,Female,21
366,Male,23
367,Female,23
367,Male,24
368,Female,20
368,Male,33
369,Female,25
369,Male,20
370,Female,46
370,Male,41
371,Female,10
371,Male,10
372,Female,22
372,Male,21
373,Female,40
373,Male,27
374,Female,90
374,Male,66
375,Female,35
375,Male,46
376,Female,58
376,Male,34
377,Female,53
377,Male,37
378,Female,46
378,Male,43
379,Female,42
379,Male,33
380,Female,61
380,Male,36
381,Female,37
381,Male,31
382,Female,32
382,Male,22
383,Female,40
383,Male,48
384,Female,116
384,Male,71
385,Female,56
385,Male,37
386,Female,156
386,Male,59
387,Female,1
388,Female,24
388,Male,29
389,Female,3
389,Male,11
390,Female,73
390,Male,62
391,Female,51
391,Male,31
392,Male,1
393,Female,5
393,Male,5
394,Female,44
394,Male,15
395,Female,13
395,Male,28
396,Female,4
396,Male,8
397,Female,18
397,Male,13
398,Female,2
398,Male,1
399,Female,4
399,Male,2
400,Female,12
400,Male,5
401,Male,1
402,Female,4
402,Male,2
403,Female,5
403,Male,4
404,Female,4
404,Male,3
405,Female,37
405,Male,19
406,Female,11
406,Male,3
407,Female,4
407,Male,2
408,Female,1
409,Male,2
410,Male,4
411,Male,1
