userid, dateofbirthid, geoid, gender
85217,20050701,1043uk,1
7049,20040501,148au,2
22319,20060301,73ie,2
4314,20040601,1040uk,2
90576,20040901,424de,1
67409,20060601,4102de,1
3533,20031001,422de,2
98258,20040201,48de,1
27646,20050801,1167au,1
81551,20050101,531es,1
112040,20060801,46de,1
49874,20031201,526es,1
46345,20060401,10152uk,1
42289,20050201,518es,2
32886,20030901,46de,2
101807,20060201,630fr,2
111085,20040801,432de,2
39405,20060401,6112fr,2
104381,20050701,466de,1
42944,20060801,10103uk,2
109449,20051201,919nz,1
18149,20051101,414de,1
78402,20060801,1035uk,1
87568,20060801,1034uk,1
61465,20060601,518es,1
8283,20040301,465de,1
110445,20040801,41de,1
58858,20060201,857it,2
96277,20050501,630fr,1
31992,20060601,422de,2
48262,20051001,432de,1
70698,20030901,825it,2
43427,20050501,3195ca,1
118066,20060801,3195ca,1
8829,20051201,10103uk,1
31326,20040301,1013uk,1
52807,20040601,1199au,1
10435,20060101,720ie,1
111054,20050701,720ie,2
100746,20060401,1034uk,2
12322,20060701,1043uk,1
46127,20041201,720ie,1
24215,20060401,1056uk,1
110821,20041001,45de,2
69015,20050101,1011uk,1
50035,20041201,527es,1
109387,20050201,630fr,1
60919,20041101,458de,2
40873,20041001,516es,2
48443,20030301,424de,2
1229,20040101,414de,1
74476,20040101,246be,2
102681,20040501,10152uk,2
60078,20030901,10103uk,2
30056,20031101,465de,2
109277,20040201,432de,2
42741,20031101,630fr,2
33589,20031201,1040uk,2
86578,20040501,526es,2
53611,20050801,48de,2
118832,20040601,1043uk,2
69440,20040701,4102de,2
92563,20031101,10252uk,1
77890,20040501,73ie,1
20863,20040501,1254au,1
111804,20031201,10255uk,1
110999,20040101,478de,2
9208,20040201,825it,1
50765,20021101,1011uk,2
5270,20060401,510es,1
1413,20021201,1011uk,2
28502,20030901,1011uk,1
887,20040701,531es,2
57078,20030901,1011uk,2
1624,20031001,617fr,1
118433,20040401,728ie,2
63188,20040401,516es,2
72884,20040801,10103uk,2
27339,20040101,423de,2
41154,20031001,3117ca,1
63817,20031201,531es,1
31333,20040601,1172us,1
12244,20060701,48de,2
66312,20040201,10255uk,2
18976,20021001,676fr,2
24225,20030801,1199au,1
81055,20040801,4102de,2
96532,20040401,1040uk,2
112045,20031101,2149be,2
37224,20031001,4102de,1
107781,20041201,73ie,1
16399,20040801,1011uk,1
68953,20041001,10255uk,1
51205,20040101,422de,1
64518,20040501,720ie,2
107745,20031201,10103uk,1
101880,20040201,728ie,2
57912,20040801,1343au,1
5330,20050401,333ca,2
47837,20040801,414de,1
79419,20030901,510es,2
109578,20040701,518es,1
77064,20040201,857it,2
73738,20050101,2351be,1
68749,20040601,48de,1
49317,20040401,48de,1
28548,20040301,3117ca,2
58407,20040901,73ie,2
21600,20040501,423de,1
67902,20041001,119us,1
60922,20040401,4102de,1
3995,20040201,11368us,1
50247,20041101,73ie,2
24594,20040601,10103uk,2
70392,20040301,466de,2
65410,20050401,510es,1
54591,20040901,10255uk,2
29615,20040801,1043uk,1
48208,20040901,4102de,1
101534,20040501,422de,1
19811,20040101,1013uk,1
62487,20060201,526es,1
44938,20031201,6387fr,2
43111,20030901,516es,2
107041,20050801,10152uk,1
46487,20041001,41de,1
118965,20041201,422de,2
68369,20040201,712ie,1
74540,20060801,3195ca,1
487,20041201,526es,1
8812,20030901,1040uk,2
96788,20040201,458de,2
61790,20040201,526es,2
87134,20031201,4404de,1
21436,20040701,1011uk,1
31185,20060701,41de,1
101642,20050301,4111de,2
73207,20050501,465de,1
100429,20040101,1034uk,1
82159,20050301,41de,1
68628,20030901,2351be,1
8344,20060201,3195ca,1
103522,20040901,10152uk,2
55305,20060801,527es,1
43644,20051201,1011uk,1
96135,20040601,112us,2
52258,20031101,46de,2
111424,20031001,510es,1
73164,20050501,527es,2
83190,20060601,41de,1
28839,20050401,10152uk,1
96467,20031101,458de,1
16772,20050801,526es,2
27302,20041201,1040uk,2
35635,20050901,422de,1
78912,20060601,119us,2
71367,20050901,1034uk,1
86917,20040801,4111de,1
2004,20040401,518es,2
75508,20060801,3448ca,2
45511,20040201,1172us,1
34635,20060601,11454us,2
39040,20030901,48de,2
111476,20040801,97nz,2
68246,20051001,10103uk,2
14285,20031101,119us,2
102776,20031101,10152uk,1
52301,20040401,422de,1
90982,20040201,4111de,2
74386,20040601,720ie,1
38832,20040201,466de,2
30314,20060701,10103uk,1
39290,20060201,84it,2
67618,20060101,466de,1
16313,20031101,4111de,2
49549,20050501,4102de,2
79098,20050201,728ie,1
10351,20040501,1162us,1
69208,20040401,1056uk,2
13406,20060201,527es,2
69589,20050601,84it,1
39544,20060201,45de,1
37344,20051101,1143au,1
51264,20060701,45de,1
31592,20040901,518es,1
115949,20031001,11454us,1
5461,20060101,1143au,2
95170,20040801,531es,2
42825,20060501,84it,2
11650,20031001,526es,2
54560,20040401,516es,2
26398,20060601,516es,1
54870,20031101,3117ca,2
15586,20060101,3448ca,2
60105,20060701,630fr,2
96168,20031201,1011uk,2
50024,20050801,3195ca,1
45256,20051201,531es,1
22386,20050901,10252uk,1
16204,20060401,1040uk,2
12408,20050801,46de,1
611,20060301,84it,1
5030,20060701,2351be,1
3376,20051201,2149be,2
28136,20030901,4111de,2
56690,20040501,48de,1
84645,20040601,526es,1
110348,20060401,10152uk,2
44451,20040201,423de,1
89020,20050801,676fr,2
45004,20060301,46de,2
2733,20051101,10252uk,1
71436,20051201,720ie,2
91430,20060701,825it,1
46839,20040801,720ie,1
27717,20040501,73ie,2
63367,20051001,466de,1
95568,20060501,2351be,1
75354,20051001,465de,2
19726,20060401,857it,1
3934,20051101,48de,1
30369,20041201,527es,1
87504,20040501,857it,1
101794,20030901,4102de,2
6816,20060301,4111de,2
117005,20060801,423de,1
109077,20031201,1254au,1
58677,20060401,1343au,1
94713,20060601,720ie,1
48758,20031001,510es,1
17644,20050901,45de,1
63401,20050701,9598nz,1
47337,20060601,478de,1
40493,20060801,423de,2
45994,20060501,11454us,1
59319,20050901,1013uk,2
27013,20040201,510es,1
106652,20030601,432de,2
37225,20050701,45de,2
97793,20040801,414de,1
85396,20040901,10252uk,2
51522,20041001,516es,1
15475,20050701,478de,2
6837,20040501,10152uk,1
19814,20040601,527es,2
110397,20050201,1056uk,2
102069,20040101,1040uk,1
47033,20040401,478de,2
72164,20030901,1011uk,2
3734,20040601,526es,2
53017,20031101,2351be,2
1882,20031101,46de,2
48721,20040801,423de,2
76446,20040201,1056uk,2
96408,20040701,432de,1
4094,20031101,510es,2
31612,20040301,48de,2
95106,20060301,516es,2
71866,20040601,466de,2
76130,20040401,3448ca,2
114534,20040701,510es,1
56977,20051101,48de,2
78958,20040701,1034uk,1
71781,20040101,73ie,2
6101,20040701,617fr,2
9084,20031001,630fr,2
58308,20040801,2351be,2
83098,20040501,424de,1
41011,20060801,458de,1
2219,20040801,11454us,2
37203,20060401,531es,1
59665,20031101,1040uk,1
19268,20040301,516es,2
36643,20040601,1043uk,2
26229,20040101,712ie,2
52158,20040201,857it,1
98366,20030901,510es,1
38430,20030901,518es,2
91678,20040601,531es,2
1676,20030801,424de,1
47058,20050401,3195ca,1
27696,20041001,46de,1
48501,20040401,1034uk,2
28410,20040701,10255uk,1
86854,20060301,1035uk,2
5032,20040801,478de,2
76989,20050701,10255uk,2
56484,20060401,6387fr,2
85726,20050701,10255uk,2
83894,20040101,510es,2
27162,20050201,516es,1
48269,20040901,1175us,1
22953,20050601,526es,1
106201,20060601,478de,2
31354,20030201,2149be,2
110759,20040301,10152uk,2
58952,20050301,11454us,1
42803,20041101,857it,1
88227,20050501,857it,2
16322,20021201,246be,1
12159,20060801,1011uk,2
117537,20041101,531es,2
89990,20030901,10103uk,1
28452,20040201,526es,2
25207,20050801,350ca,2
65967,20021101,1056uk,1
45447,20031101,4404de,1
86092,20040501,119us,1
109709,20060201,1034uk,2
94036,20040801,466de,2
83816,20031101,1011uk,2
10857,20040601,119us,2
105926,20040801,857it,2
13821,20040401,728ie,2
45403,20040301,46de,1
90338,20050301,414de,2
34131,20040501,6112fr,1
31838,20050501,414de,2
110452,20021201,91182nz,2
32619,20040401,10255uk,2
4549,20040401,46de,2
59344,20030501,432de,2
86751,20040401,10252uk,2
99798,20031101,527es,1
110189,20040901,478de,2
64355,20051101,11368us,2
96333,20031001,518es,1
65223,20030901,516es,1
99403,20060701,857it,2
30735,20051001,10103uk,2
53636,20040601,526es,1
107269,20040401,414de,1
46331,20040201,1056uk,1
37583,20040201,414de,1
6581,20040301,1034uk,2
8732,20051201,6112fr,1
101753,20040301,458de,2
42283,20040501,10252uk,2
28994,20040401,1167au,1
19826,20031101,73ie,2
42012,20041001,10252uk,1
36877,20050501,1035uk,1
18000,20031001,4111de,2
21724,20050501,3195ca,2
107657,20041201,617fr,2
23589,20031001,48de,2
58836,20040501,1199au,2
71831,20040601,617fr,2
25059,20040201,2351be,1
82507,20060701,478de,2
11930,20040501,112us,1
28071,20060701,48de,1
16185,20040501,518es,1
116465,20060101,825it,2
49295,20060201,246be,1
80135,20030901,527es,1
29827,20051001,478de,1
51222,20031101,1343au,1
59174,20040301,73ie,1
34472,20050201,423de,2
73007,20031101,516es,2
86563,20051201,45de,1
82724,20060701,466de,2
23615,20050901,10255uk,1
97479,20051101,9598nz,1
85535,20060101,10255uk,2
79933,20060701,825it,2
24013,20040101,119us,1
36350,20040101,84it,2
83596,20030901,424de,1
57007,20051101,526es,1
3976,20040501,526es,1
94616,20040501,333ca,1
67892,20060101,465de,1
81502,20031001,61447fr,1
47552,20060101,10252uk,1
18387,20031201,1040uk,1
67915,20050901,478de,1
25273,20050901,531es,1
66923,20060201,91462nz,2
3588,20060701,10255uk,2
81508,20030901,84it,1
14032,20031101,531es,1
2147,20060601,458de,2
87674,20060301,4404de,1
86463,20031001,531es,1
35674,20040701,825it,2
15351,20060601,45de,1
18679,20060701,1343au,2
105863,20040601,466de,2
98712,20060401,1034uk,1
42573,20051101,333ca,2
23454,20051101,112us,2
57187,20060201,516es,1
66111,20060101,91592nz,2
41201,20051001,10252uk,1
14986,20040701,4404de,2
5264,20040301,466de,2
98760,20040701,2351be,1
114592,20031101,516es,2
1322,20031201,4404de,2
109865,20040201,466de,2
12453,20031101,73ie,2
92174,20040701,1143au,1
301,20031001,3195ca,2
10685,20040201,321ca,2
64948,20040401,1043uk,1
102360,20040401,424de,1
46375,20031201,48de,2
76807,20031001,10103uk,2
4917,20040401,3195ca,1
108856,20040701,422de,2
36313,20050501,10103uk,2
55541,20031001,1035uk,2
65635,20030901,465de,1
116263,20050701,432de,1
92912,20060501,857it,2
116371,20040501,2351be,1
22820,20040301,10152uk,1
51814,20040501,350ca,2
20172,20040701,10255uk,1
106573,20040401,48de,1
42937,20040801,350ca,1
57281,20050701,4404de,1
98722,20031001,4111de,2
106435,20031101,48de,1
80703,20040601,466de,1
18916,20031201,46de,2
86263,20040701,350ca,1
79000,20040501,1040uk,1
96329,20040701,333ca,1
23883,20031201,4404de,2
52163,20040301,2351be,2
60740,20031101,1199au,1
74856,20040501,1013uk,2
33830,20050301,458de,1
43019,20040701,6112fr,2
86676,20040101,423de,1
42173,20040101,10103uk,1
28201,20031101,1043uk,1
20093,20031001,46de,1
17511,20041201,424de,2
69482,20040301,10103uk,1
104118,20050201,1011uk,2
32872,20050301,414de,1
69171,20040101,518es,2
18833,20060301,630fr,1
27164,20040501,48de,2
13239,20031201,112us,1
41395,20020901,1043uk,2
11566,20040101,518es,1
109002,20040801,527es,2
33068,20040501,61447fr,1
85154,20050701,333ca,1
40020,20050301,728ie,1
4700,20051201,1167au,2
16814,20031101,10255uk,2
20005,20040301,112us,2
50306,20020901,11454us,2
54861,20041201,91182nz,2
6251,20040701,4111de,1
3537,20041201,73ie,2
51970,20030101,1162us,1
96053,20040501,465de,1
113747,20080101,91592nz,2
78084,20040801,73ie,2
70407,20041201,518es,1
117135,20051101,2351be,2
115440,20031001,527es,1
79398,20060401,466de,1
19452,20031001,4102de,1
28189,20060801,414de,1
90101,20060701,422de,1
102138,20060401,48de,1
7113,20060101,531es,2
58423,20060501,1043uk,1
5600,20040501,423de,1
98013,20040401,1056uk,1
28623,20040801,531es,2
116070,20040301,516es,1
100299,20050901,46de,2
13901,20050401,45de,1
72179,20040101,9598nz,2
101902,20030101,518es,1
92046,20031001,531es,1
67472,20031101,478de,2
109103,20040101,10255uk,2
56860,20030901,531es,2
23938,20040501,424de,2
15319,20041101,1013uk,2
31298,20031101,1143au,1
49716,20040701,1035uk,2
54752,20031201,526es,2
7966,20060801,728ie,1
23383,20040201,825it,1
4319,20040801,857it,2
52995,20050201,61447fr,1
46924,20040201,414de,1
30932,20040501,720ie,2
102081,20040501,466de,2
33852,20040401,630fr,2
111735,20051201,1172us,2
5457,20050301,4111de,2
10002,20040601,825it,1
1255,20031101,10252uk,2
80909,20031201,1013uk,2
8878,20040801,458de,2
11794,20031101,41de,2
61918,20031001,41de,2
95019,20031101,6112fr,1
67400,20040701,48de,2
14335,20041201,4111de,2
90481,20051201,466de,2
10267,20050801,518es,2
4355,20030701,91462nz,2
14565,20040801,148au,2
31436,20040201,423de,1
23331,20031001,1343au,1
35543,20040201,10152uk,1
5918,20040701,465de,1
93427,20050801,1013uk,1
66402,20050501,414de,2
82302,20031001,432de,2
54117,20031101,414de,2
74438,20040501,4102de,1
87288,20040201,1013uk,2
41590,20050901,527es,1
44624,20040301,465de,2
100723,20040201,350ca,1
19378,20041101,466de,1
2423,20041001,466de,1
45796,20050401,516es,1
47833,20050501,45de,2
53484,20050801,46de,1
60108,20041101,10103uk,2
106430,20041001,1167au,2
70314,20050101,414de,1
94930,20040101,10252uk,2
117233,20040201,458de,2
107430,20040701,4404de,1
52832,20040501,720ie,1
114186,20040801,4111de,1
15428,20040801,1034uk,1
30096,20041201,1167au,2
96583,20031101,91592nz,2
72555,20040901,11454us,2
80306,20040501,10152uk,1
92580,20040301,1254au,2
83730,20040801,1034uk,2
22394,20040201,516es,1
69767,20041201,1162us,1
69212,20030801,4102de,2
81805,20040101,478de,1
11766,20040701,4111de,2
105253,20030901,478de,2
50480,20060301,414de,1
71676,20040501,4111de,1
17844,20040401,423de,1
37865,20040301,3195ca,2
57270,20050701,526es,2
80743,20051101,414de,2
5442,20060301,432de,1
52018,20040101,1043uk,1
1363,20070301,2351be,1
77601,20060901,466de,1
19204,20070201,4404de,1
78692,20051201,1040uk,1
76589,20060901,2351be,1
13781,20070801,10103uk,1
82481,20061101,510es,1
54600,20040501,2149be,2
31242,20070501,1040uk,1
116192,20070301,11368us,1
54492,20040801,1056uk,2
40396,20070301,6387fr,1
89285,20060501,527es,1
63175,20060201,112us,1
113794,20070101,423de,1
87770,20050901,4111de,1
107507,20060701,4102de,1
18140,20070301,73ie,1
94417,20081201,531es,2
35769,20090601,41de,1
72261,20081001,423de,2
69103,20060901,4111de,1
70474,20050901,84it,2
109349,20061201,466de,2
103373,20051101,630fr,2
31413,20070901,3448ca,1
89897,20071001,45de,1
10393,20061001,1034uk,1
40267,20060801,531es,1
55411,20060501,857it,1
27254,20070801,510es,2
55471,20061001,148au,1
18381,20070501,1043uk,1
32953,20060101,46de,2
13574,20070501,531es,1
88974,20080201,414de,1
49156,20060501,73ie,2
33551,20080301,423de,2
72830,20060701,4102de,1
55828,20090701,518es,1
102461,20061001,857it,2
79262,20070601,46de,1
16697,20051201,6387fr,2
105501,20070701,630fr,2
72663,20070801,527es,1
49419,20060801,424de,1
65896,20070801,10255uk,1
98674,20060201,414de,1
79492,20051101,4111de,2
63210,20070801,1254au,2
54523,20060201,1013uk,2
77438,20070301,1034uk,2
72633,20070101,617fr,1
39369,20060201,61447fr,2
48128,20070901,526es,2
53920,20090101,526es,2
51701,20070201,414de,1
36936,20070701,422de,2
105010,20080701,526es,2
56478,20070801,45de,2
59520,20060901,246be,2
22553,20070301,1143au,1
99162,20060101,10152uk,2
73392,20051001,1035uk,1
49537,20051201,1254au,2
83932,20060801,510es,2
20540,20060701,720ie,1
54786,20060901,1040uk,2
38416,20090301,1011uk,2
43394,20050901,2351be,1
39628,20051101,45de,1
84928,20060101,1162us,2
76870,20060301,3117ca,2
43383,20060901,1199au,1
65637,20070301,4102de,1
38975,20060601,10152uk,1
29358,20070601,422de,1
8141,20070101,1011uk,2
64742,20071201,246be,1
29309,20070201,1035uk,1
116864,20070401,3195ca,2
110965,20060301,1013uk,2
101594,20070301,2149be,2
99160,20060201,527es,2
39218,20070501,48de,1
90565,20060701,1011uk,1
75581,20070301,321ca,2
110496,20060801,3448ca,1
71065,20070801,510es,1
42651,20070701,333ca,1
52088,20060801,984nz,1
6203,20070601,10255uk,1
13446,20061201,1343au,2
73859,20070801,414de,2
8312,20060201,84it,2
117841,20060901,676fr,2
113240,20090601,432de,1
70807,20060901,478de,2
101675,20051001,41de,1
30436,20070301,422de,2
114882,20070301,857it,2
51918,20060501,45de,1
45325,20070801,422de,1
82708,20050901,630fr,1
46412,20060501,4404de,2
68826,20080701,112us,1
82631,20060501,321ca,2
38472,20040101,91182nz,1
84887,20060901,61447fr,2
89333,20060401,48de,1
105386,20051201,10255uk,1
47824,20060501,423de,1
51248,20070601,984nz,2
33171,20070401,10255uk,1
1333,20060601,518es,2
66357,20060601,3117ca,1
1677,20060701,10152uk,1
104508,20060401,4404de,1
64393,20061001,1013uk,2
90312,20070801,4102de,1
28732,20061201,84it,2
96514,20060901,1040uk,2
75777,20070701,1043uk,2
78460,20070101,91182nz,1
35722,20051001,617fr,2
10499,20050901,10152uk,2
68342,20060801,676fr,1
113495,20070101,4102de,2
72523,20051001,1043uk,1
9581,20060401,422de,2
29180,20051201,527es,2
23272,20070701,424de,1
20971,20070401,1013uk,2
9169,20060201,61447fr,2
79690,20070101,1040uk,2
67442,20070801,424de,1
96835,20060401,119us,1
89633,20051001,148au,1
24738,20030901,91592nz,1
68859,20040401,414de,2
63066,20030901,333ca,2
68577,20040101,1040uk,2
100183,20031201,465de,2
113427,20030101,414de,1
40042,20020901,333ca,2
84019,20030301,527es,1
47418,20031001,432de,2
74580,20030901,97nz,2
6321,20040201,458de,1
27760,20031001,3117ca,2
43140,20040601,1162us,1
33361,20030901,478de,1
57595,20040501,3117ca,2
36431,20040401,1172us,1
970,20040701,458de,1
10305,20040101,3117ca,2
16624,20031001,857it,2
77289,20040601,246be,2
91810,20040801,432de,2
76527,20031001,414de,2
58522,20040201,321ca,2
107388,20040501,73ie,2
62881,20030501,1034uk,1
73338,20030501,10255uk,1
97240,20031201,11368us,1
76283,20030901,510es,2
102402,20040801,2351be,2
65352,20030901,1013uk,2
425,20040401,10252uk,2
20155,20030401,1162us,2
87223,20040101,2351be,1
8981,20021201,4102de,2
61052,20030901,676fr,1
7656,20040701,3448ca,2
111964,20030901,4404de,2
24803,20040801,10255uk,1
54547,20051001,73ie,1
8356,20040801,630fr,2
28023,20070301,73ie,1
38856,20051001,11368us,2
96521,20041001,465de,2
109509,20040201,518es,2
87604,20070201,1040uk,1
5240,20060501,11368us,1
45639,20050601,1034uk,2
35529,20060101,531es,1
28679,20050201,1040uk,2
35403,20060101,919nz,2
30917,20060601,10103uk,2
17744,20060501,526es,1
117110,20040101,728ie,2
99658,20050101,4404de,2
89423,20051201,1013uk,1
9538,20051101,526es,2
55172,20050701,3448ca,2
9787,20050801,3448ca,2
34921,20080201,526es,1
86960,20050801,510es,1
79560,20080201,432de,2
37942,20040601,518es,2
21903,20050601,91182nz,1
98087,20080301,6112fr,1
59935,20050401,1043uk,2
2027,20040801,1343au,2
26950,20080201,9598nz,2
52298,20040601,1254au,2
88073,20040801,478de,1
87853,20060701,1254au,1
73386,20080401,414de,1
90505,20050401,1343au,2
46596,20050901,518es,1
1580,20080601,1175us,1
24600,20031101,516es,2
117858,20080201,48de,1
25881,20070601,10152uk,1
90466,20050701,1035uk,1
89751,20031201,1175us,1
100515,20051201,527es,2
101026,20031001,466de,2
12791,20071101,1056uk,1
43013,20050501,531es,2
74311,20050501,1035uk,2
78431,20051001,119us,2
95119,20050701,712ie,1
23215,20050301,510es,2
99614,20030901,1034uk,1
13264,20070901,91592nz,1
104163,20040101,1035uk,1
38721,20070801,1040uk,2
95616,20071201,41de,2
44070,20050701,84it,1
12620,20040501,1035uk,2
71933,20060701,97nz,2
63278,20050301,465de,1
97425,20060301,526es,2
117873,20050601,432de,2
79493,20040501,516es,2
32875,20051001,518es,2
45635,20071001,10152uk,1
36663,20060501,518es,1
76389,20080301,1172us,2
41162,20050701,1013uk,1
72805,20041101,527es,2
56994,20050801,465de,1
96907,20051201,825it,2
13111,20040901,1172us,2
48504,20060901,414de,1
45545,20060201,423de,2
75015,20080301,857it,2
37492,20040901,458de,1
1860,20080201,10103uk,1
4379,20030901,1035uk,1
72190,20050401,45de,2
106569,20040201,350ca,1
50987,20040501,4102de,1
12881,20040501,4404de,1
10104,20060501,2149be,1
23772,20040401,465de,1
73733,20030901,531es,2
80940,20031201,1199au,1
100947,20081101,630fr,2
28720,20060801,10252uk,1
39435,20070401,4404de,2
55264,20060301,1172us,2
35536,20061101,510es,2
93982,20090701,6112fr,2
39746,20080601,73ie,2
59636,20090601,630fr,1
85309,20080901,1011uk,2
102212,20061101,10103uk,1
82234,20070301,1035uk,1
55829,20080901,350ca,1
19441,20070701,414de,1
45808,20070501,478de,2
53262,20060701,422de,1
79393,20060601,712ie,1
50635,20090601,424de,1
104726,20051201,466de,2
79075,20060801,825it,1
68479,20070401,1056uk,2
49925,20051001,91182nz,2
41004,20051201,11368us,2
38596,20070201,527es,1
41262,20060801,333ca,1
5219,20081001,6112fr,1
99292,20061201,4102de,1
52869,20071101,458de,1
111177,20051001,2351be,1
71515,20070301,46de,2
26775,20070501,857it,1
23935,20061201,333ca,1
14074,20090101,531es,1
88590,20060401,984nz,2
76409,20060301,510es,1
8781,20090701,10252uk,1
66372,20051101,424de,1
58217,20070201,424de,1
95524,20060401,6387fr,2
6669,20070801,10103uk,1
56906,20080201,478de,2
69241,20060601,3448ca,1
51393,20070201,919nz,2
87895,20080701,1172us,2
114390,20050901,1162us,2
54527,20070501,350ca,1
88079,20060801,11454us,1
57353,20080601,478de,2
41651,20060601,531es,1
98323,20051201,1167au,1
86840,20070301,432de,2
26008,20071001,4102de,1
17522,20061101,919nz,2
99886,20071101,6387fr,2
87922,20070701,1034uk,2
3716,20061101,728ie,2
8473,20050901,4404de,2
4136,20090701,510es,1
103026,20070301,510es,2
13939,20090701,424de,2
22717,20090301,712ie,2
29489,20071201,516es,1
86591,20090701,1254au,2
46558,20060501,1040uk,2
52274,20050901,465de,2
75730,20080101,527es,1
96090,20050901,333ca,2
83172,20060601,414de,1
45569,20080901,1043uk,1
12152,20070701,516es,1
1754,20071001,857it,2
93983,20060601,857it,1
110612,20070101,1011uk,2
64994,20080501,46de,1
116766,20080101,516es,2
88000,20051201,527es,1
58414,20071201,91182nz,2
25834,20061001,825it,1
80185,20080401,510es,1
57945,20060701,617fr,1
82610,20050901,531es,1
28460,20050401,510es,1
31944,20060601,422de,1
22377,20060801,1056uk,2
66150,20050301,1011uk,2
97076,20050301,10103uk,1
75386,20060601,414de,1
5074,20040901,41de,1
80630,20051001,45de,1
48023,20041001,45de,1
79696,20041001,531es,2
89653,20050801,350ca,2
54866,20051001,1172us,2
73679,20041101,148au,2
66153,20051001,630fr,1
78028,20060701,3117ca,1
14611,20050901,41de,1
62115,20060801,148au,1
29512,20050801,617fr,1
30453,20050901,350ca,2
29670,20060201,676fr,2
111488,20040701,526es,2
21097,20051001,11368us,1
85886,20060801,1013uk,2
79249,20060601,526es,2
10211,20050301,516es,1
21023,20060501,4404de,1
36103,20050301,424de,1
32578,20040901,246be,2
68445,20060301,1034uk,2
57489,20060801,527es,2
26222,20041101,510es,1
92126,20040901,432de,1
59698,20051001,516es,2
21137,20041201,1167au,2
80225,20050101,526es,2
46301,20051101,3117ca,2
17014,20060701,167au,1
116685,20050201,350ca,2
70372,20051101,414de,1
21653,20051101,857it,2
103312,20060601,423de,1
79473,20060401,10255uk,2
115933,20050601,333ca,1
